Setting up workspace environment...
[INFO] parsing arguments: 0.001 seconds
[INFO] garbage collect, emptying cache...
Loading configurations...
[INFO] running on: cuda
[INFO] self alignment method: constantshift
Loading data: took 1.300 seconds
[INFO] inputs: torch.Size([1000, 5]), outputs: torch.Size([1000, 2]), targets: torch.Size([1000, 1])
Initializing model (GP, R1005): took 0.003 seconds
Training model...
[INFO] initial train time:  1.516 sec 
# 1: 19.296 -> 86.025
# 2: 19.816 -> 74.636
# 3: 9.898 -> 74.755
# 4: 21.569 -> 61.869
# 5: 7.178 -> 74.130
# 6: 12.655 -> 64.837
# 7: 0.431 -> 70.406
# 8: 16.095 -> 59.413
# 9: 9.368 -> 61.458
# 10: 17.773 -> 87.340
[199/200] candidate #199, PRE: -17.725858688354492, POST: 32.274139404296875: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 199/199 [07:02<00:00,  2.12s/it]

Candidate distances
# 1: 29.251 -> 85.301
# 2: 35.333 -> 95.196
# 3: 7.426 -> 65.042
# 4: 37.465 -> 88.731
# 5: 11.226 -> 59.908
# 6: 33.416 -> 90.675
# 7: 32.716 -> 102.914
# 8: 34.081 -> 89.507
# 9: 33.016 -> 103.595
# 10: 14.745 -> 60.472
# 11: 33.885 -> 89.899
# 12: 34.966 -> 105.418
# 13: 30.594 -> 94.247
# 14: 34.567 -> 98.760
# 15: 13.791 -> 57.698
# 16: 35.156 -> 94.168
# 17: 23.348 -> 83.217
# 18: 30.973 -> 92.670
# 19: 22.037 -> 48.693
# 20: 12.828 -> 59.687
# 21: 23.125 -> 87.951
# 22: 17.906 -> 58.218
# 23: 20.590 -> 85.089
# 24: 36.198 -> 106.884
# 25: 20.016 -> 85.412
# 26: 18.726 -> 83.578
# 27: 30.423 -> 92.317
# 28: 13.021 -> 58.702
# 29: 23.908 -> 78.903
# 30: 31.196 -> 83.315
# 31: 3.819 -> 73.812
# 32: 29.329 -> 90.858
# 33: 22.212 -> 84.451
# 34: 19.168 -> 51.546
# 35: 25.343 -> 87.921
# 36: 31.710 -> 85.917
# 37: 44.215 -> 114.925
# 38: 34.477 -> 85.755
# 39: 16.753 -> 54.858
# 40: 26.780 -> 87.963
# 41: 22.192 -> 49.167
# 42: 35.243 -> 89.128
# 43: 24.249 -> 87.287
# 44: 32.717 -> 93.717
# 45: 19.537 -> 74.739
# 46: 40.059 -> 98.530
# 47: 31.571 -> 102.248
# 48: 28.284 -> 85.059
# 49: 39.258 -> 94.848
# 50: 17.081 -> 58.824
# 51: 13.479 -> 58.808
# 52: 33.581 -> 83.753
# 53: 26.387 -> 80.802
# 54: 31.513 -> 81.988
# 55: 20.753 -> 50.000
# 56: 37.870 -> 92.242
# 57: 36.538 -> 89.994
# 58: 22.252 -> 48.458
# 59: 27.695 -> 87.087
# 60: 6.279 -> 64.944
# 61: 26.064 -> 84.876
# 62: 22.912 -> 83.780
# 63: 27.000 -> 77.876
# 64: 36.339 -> 93.370
# 65: 11.230 -> 61.859
# 66: 22.061 -> 83.625
# 67: 33.239 -> 85.143
# 68: 29.877 -> 86.327
# 69: 27.053 -> 91.405
# 70: 31.192 -> 89.744
# 71: 25.741 -> 83.849
# 72: 21.090 -> 82.349
# 73: 24.618 -> 90.133
# 74: 24.795 -> 83.628
# 75: 36.603 -> 100.324
# 76: 36.388 -> 95.846
# 77: 17.063 -> 83.373
# 78: 21.191 -> 84.312
# 79: 47.829 -> 118.503
# 80: 35.943 -> 90.786
# 81: 17.905 -> 52.873
# 82: 46.434 -> 116.640
# 83: 18.930 -> 83.787
# 84: 28.026 -> 93.144
# 85: 17.270 -> 53.915
# 86: 12.931 -> 58.766
# 87: 33.724 -> 88.902
# 88: 41.479 -> 96.517
# 89: 32.083 -> 96.195
# 90: 29.870 -> 82.672
# 91: 27.407 -> 82.123
# 92: 31.929 -> 89.072
# 93: 32.649 -> 87.864
# 94: 33.242 -> 85.272
# 95: 14.827 -> 58.524
# 96: 34.631 -> 95.229
# 97: 18.918 -> 85.606
# 98: 25.801 -> 81.035
# 99: 21.326 -> 85.219
# 100: 39.422 -> 96.190
# 101: 35.623 -> 97.689
# 102: 36.177 -> 87.541
# 103: 44.344 -> 115.043
# 104: 23.808 -> 88.930
# 105: 33.980 -> 85.826
# 106: 44.646 -> 115.335
# 107: 24.865 -> 90.057
# 108: 12.829 -> 61.658
# 109: 38.173 -> 90.103
# 110: 12.594 -> 60.482
# 111: 34.675 -> 90.964
# 112: 36.010 -> 106.678
# 113: 24.006 -> 76.441
# 114: 31.006 -> 90.577
# 115: 18.034 -> 83.118
# 116: 1.627 -> 69.208
# 117: 22.964 -> 47.855
# 118: 25.114 -> 79.607
# 119: 22.976 -> 77.655
# 120: 25.137 -> 91.104
# 121: 24.372 -> 81.188
# 122: 31.490 -> 89.327
# 123: 31.055 -> 84.307
# 124: 7.134 -> 66.434
# 125: 34.442 -> 95.958
# 126: 16.003 -> 60.407
# 127: 40.537 -> 94.825
# 128: 33.260 -> 95.206
# 129: 34.043 -> 96.270
# 130: 26.637 -> 80.910
# 131: 7.586 -> 64.593
# 132: 33.418 -> 92.716
# 133: 32.210 -> 82.318
# 134: 38.962 -> 101.558
# 135: 24.499 -> 80.130
# 136: 34.247 -> 97.371
# 137: 27.787 -> 84.299
# 138: 29.862 -> 94.289
# 139: 43.157 -> 93.710
# 140: 39.959 -> 110.130
# 141: 38.764 -> 90.626
# 142: 8.433 -> 63.294
# 143: 30.998 -> 81.671
# 144: 24.686 -> 83.979
# 145: 32.047 -> 95.257
# 146: 31.516 -> 96.185
# 147: 23.760 -> 86.663
# 148: 40.351 -> 96.035
# 149: 23.185 -> 82.973
# 150: 30.540 -> 87.204
# 151: 16.798 -> 54.456
# 152: 16.095 -> 60.208
# 153: 31.972 -> 88.885
# 154: 41.189 -> 109.770
# 155: 35.958 -> 88.820
# 156: 23.259 -> 85.724
# 157: 29.931 -> 94.090
# 158: 6.509 -> 65.241
# 159: 32.068 -> 95.084
# 160: 25.836 -> 87.315
# 161: 30.770 -> 81.872
# 162: 3.993 -> 67.568
# 163: 37.367 -> 98.357
# 164: 35.833 -> 96.313
# 165: 25.095 -> 80.380
# 166: 32.955 -> 96.840
# 167: 29.903 -> 82.674
# 168: 16.026 -> 54.711
# 169: 18.299 -> 58.661
# 170: 20.949 -> 83.394
# 171: 31.884 -> 91.095
# 172: 27.424 -> 90.679
# 173: 32.244 -> 85.335
# 174: 23.127 -> 74.691
# 175: 27.376 -> 82.913
# 176: 14.229 -> 56.764
# 177: 33.002 -> 96.300
# 178: 31.212 -> 94.439
# 179: 40.620 -> 95.685
# 180: 29.225 -> 85.312
# 181: 22.804 -> 85.499
# 182: 28.725 -> 87.066
# 183: 6.599 -> 64.386
# 184: 36.428 -> 97.298
# 185: 33.678 -> 87.863
# 186: 23.776 -> 88.229
# 187: 29.889 -> 93.541
# 188: 36.735 -> 89.835
# 189: 23.146 -> 83.365
# 190: 11.010 -> 59.719
# 191: 29.570 -> 89.204
# 192: 35.476 -> 96.832
# 193: 33.082 -> 95.951
# 194: 23.800 -> 84.282
# 195: 32.381 -> 91.362
# 196: 17.223 -> 58.162
# 197: 36.510 -> 96.132
# 198: 29.210 -> 89.628
# 199: 18.040 -> 56.725
