PRE DIR,SPI DIR,PRE-SPI,PRE DIST,SPI DIST,AVG SPI_VOLUME,POST DIST
(-1/1),(-1/-1),83.6,175.4,107.0,87.7,28.1
(-1/-1),(-1/-1),87.3,100.6,114.0,91.4,24.2
(-1/1),(-1/-1),178.8,227.5,119.2,92.5,48.2
(-1/-1),(-1/-1),26.7,96.8,120.1,95.8,28.1
(-1/-1),(-1/1),28.3,111.9,99.5,83.1,27.1
(1/-1),(-1/1),250.9,190.3,103.2,80.6,45.2
(1/-1),(-1/-1),242.6,204.1,114.0,81.5,30.3
(1/-1),(1/1),181.3,177.3,124.0,75.7,68.0
(-1/1),(-1/-1),189.1,189.3,61.0,98.9,38.6
(-1/1),(-1/-1),90.4,224.8,232.0,68.9,79.9
(-1/1),(1/1),266.6,129.5,242.8,75.7,69.0
(-1/1),(-1/1),133.1,219.5,166.0,85.7,71.0
(1/1),(1/-1),203.3,147.7,258.6,57.4,75.9
(-1/-1),(1/1),415.7,181.6,236.7,78.0,121.5
(-1/-1),(1/1),269.8,174.2,114.8,91.7,2.6
(1/1),(1/-1),135.2,137.2,212.4,75.0,44.1
(1/-1),(-1/1),125.7,32.2,97.6,83.8,35.9
(1/-1),(1/1),139.0,96.9,155.2,74.3,39.4
(1/1),(-1/1),185.0,78.4,114.3,74.9,49.6
(-1/-1),(1/1),293.1,173.7,120.3,102.1,35.6
(1/-1),(1/-1),117.0,119.2,62.5,84.0,29.5
(-1/1),(-1/-1),257.8,177.1,114.0,87.2,22.4
(-1/-1),(1/-1),143.3,45.3,106.3,94.1,11.0
(1/-1),(-1/-1),359.7,254.0,108.3,79.8,13.6
(1/-1),(-1/-1),232.8,52.2,226.9,75.8,63.5
(1/1),(-1/-1),217.9,182.4,107.8,80.5,33.0
(1/-1),(-1/-1),219.0,101.4,133.9,82.9,41.5
(1/-1),(1/1),130.2,260.1,202.3,80.1,78.9
(-1/-1),(-1/-1),80.7,239.5,233.5,70.1,91.4
(-1/1),(-1/1),75.2,198.6,125.1,99.8,40.2
(1/-1),(1/1),99.1,85.4,20.2,93.0,9.4
(-1/1),(1/-1),316.6,192.7,124.0,94.6,29.4
(-1/-1),(1/-1),210.2,197.2,110.7,87.7,37.6
(1/1),(-1/-1),170.9,109.5,118.5,87.7,50.3
(-1/1),(-1/-1),160.2,125.6,220.8,89.9,78.8
(-1/-1),(-1/-1),135.2,245.3,116.3,85.8,31.0
(1/-1),(-1/-1),326.3,124.2,225.5,67.0,52.7
(1/1),(1/1),93.3,154.3,238.5,60.9,101.4
(1/1),(1/1),54.6,73.9,123.6,80.1,51.0
(-1/-1),(-1/-1),123.8,107.2,216.9,72.2,78.0
(1/1),(1/-1),160.9,151.6,72.8,84.8,28.4
(-1/1),(-1/1),76.5,220.5,144.9,85.6,76.5
(-1/-1),(1/-1),356.4,171.6,196.5,79.1,45.2
(1/1),(-1/1),252.2,149.6,131.0,86.4,45.8
(1/-1),(-1/1),259.6,147.5,112.1,79.7,31.6
(-1/1),(1/1),259.3,157.7,103.7,82.4,29.1
(-1/-1),(1/-1),312.7,235.0,148.3,68.7,135.9
(1/1),(1/-1),183.8,158.0,152.3,79.2,42.4
(-1/1),(-1/1),131.8,261.5,130.4,98.0,43.9
(-1/1),(-1/-1),179.3,248.3,217.4,83.5,58.1
(-1/-1),(-1/1),83.8,58.5,109.1,86.8,30.0
(1/-1),(-1/-1),409.3,189.8,224.5,69.4,35.4
(-1/1),(-1/-1),170.3,154.0,60.1,102.1,17.7
(1/1),(-1/1),382.9,159.4,227.4,75.2,34.6
(1/-1),(-1/-1),279.8,171.0,123.1,84.8,50.0
(1/1),(-1/1),330.6,132.6,207.9,80.8,48.4
(1/-1),(1/1),93.2,164.4,126.4,80.5,63.6
(-1/1),(1/1),437.4,250.2,214.8,94.8,71.4
(-1/-1),(-1/-1),70.2,147.6,104.6,95.1,30.1
(1/-1),(-1/-1),209.8,101.8,128.8,75.9,38.4
(1/1),(-1/1),245.5,94.0,238.5,77.1,80.2
(1/-1),(1/1),140.7,163.6,218.3,68.2,55.5
(1/1),(1/1),56.2,232.5,237.7,82.0,86.8
(-1/1),(1/1),384.8,185.6,201.5,92.8,22.5
(1/1),(1/1),158.7,260.6,152.0,79.0,61.6
(1/-1),(1/-1),118.0,124.8,157.2,83.9,48.4
(1/-1),(-1/-1),333.0,169.0,215.1,77.8,71.7
(1/1),(-1/1),137.9,85.8,152.2,79.9,67.7
(1/-1),(1/-1),32.3,133.1,100.7,76.9,49.6
(1/-1),(1/1),185.9,73.5,221.5,72.6,61.7
(-1/1),(1/-1),445.5,212.0,233.7,78.7,48.8
(1/1),(1/-1),243.6,137.1,249.3,63.1,95.5
(-1/1),(-1/1),85.7,154.0,239.4,78.3,93.2
(1/-1),(1/1),149.8,193.8,208.2,70.3,85.1
(1/1),(-1/-1),469.5,245.3,225.9,67.0,103.6
(1/1),(-1/1),344.6,224.7,158.5,83.0,29.0
(1/1),(-1/-1),436.0,226.6,217.5,74.9,88.2
(-1/-1),(1/1),282.4,38.9,244.6,73.9,61.1
(1/-1),(1/1),203.0,151.9,225.8,79.8,52.8
(-1/-1),(-1/-1),20.7,70.7,85.4,101.0,17.3
(-1/1),(-1/-1),245.5,228.5,229.1,70.8,70.2
(1/1),(1/1),104.3,65.7,145.7,91.4,59.1
(-1/1),(1/1),401.6,176.6,225.7,69.2,64.2
(-1/1),(1/1),190.9,217.9,62.8,101.8,57.6
(1/-1),(-1/-1),371.4,137.9,243.8,73.7,63.4
(1/1),(1/-1),51.4,201.5,202.2,70.0,43.1
(-1/1),(1/-1),219.4,106.3,119.2,95.2,19.3
(1/1),(-1/-1),363.6,208.2,160.2,76.2,24.1
(1/1),(1/1),29.7,208.6,204.0,81.5,52.5
(-1/1),(1/-1),224.1,115.3,114.7,99.9,10.9
(1/1),(1/1),163.4,77.3,240.7,63.2,91.8
(-1/1),(-1/-1),183.8,131.2,114.0,98.5,28.6
(1/1),(-1/-1),398.5,191.4,210.5,73.2,70.3
(-1/-1),(1/1),290.9,81.5,209.6,85.4,44.6
(-1/-1),(-1/1),237.0,175.4,107.3,77.9,21.1
(-1/1),(-1/-1),126.0,11.3,118.1,86.8,21.9
(-1/-1),(1/1),176.8,55.8,127.4,92.3,24.8
(-1/1),(-1/1),214.4,68.5,244.1,76.6,62.2
(-1/-1),(-1/-1),43.0,91.4,115.7,87.2,37.1
(1/-1),(-1/1),211.8,95.3,116.8,81.0,19.3
