|   iter    |  target   |    x1     |    x2     |
-------------------------------------------------
|  1        | -22.02    |  14.06    |  6.03     |
|  2        | -21.46    | -7.961    |  16.26    |
|  3        | -10.73    | -14.89    | -0.8313   |
|  4        | -6.765    | -8.562    |  0.7512   |
|  5        | -10.5     | -4.513    |  5.485    |
|  6        | -12.98    | -7.309    |  7.773    |
|  7        | -29.54    |  24.5     | -3.357    |
|  8        | -6.979    |  1.737    | -3.176    |
|  9        | -11.24    |  4.457    |  1.072    |
|  10       | -22.55    |  12.23    |  9.547    |
|  11       | -24.78    |  14.26    |  10.58    |
|  12       | -21.66    | -16.16    |  13.57    |
|  13       | -14.51    |  9.361    | -2.898    |
|  14       | -11.07    |  5.447    | -8.668    |
|  15       | -17.06    | -1.296    |  11.65    |
|  16       | -30.1     | -10.73    |  24.55    |
|  17       | -5.261    | -8.596    | -1.16     |
|  18       | -24.48    |  5.157    | -27.28    |
|  19       | -23.33    |  18.22    | -7.297    |
|  20       | -17.08    |  2.036    |  10.56    |
|  21       | -4.333    | -2.915    | -1.202    |
|  22       | -17.7     | -5.822    |  12.68    |
|  23       | -25.96    |  14.14    |  12.54    |
|  24       | -17.47    |  6.209    |  8.404    |
|  25       | -15.13    |  2.986    |  7.856    |
|  26       | -17.82    |  5.99     |  9.033    |
|  27       | -27.77    |  4.317    |  21.16    |
|  28       | -18.47    |  13.37    | -3.101    |
|  29       | -23.33    |  8.114    |  14.29    |
|  30       | -13.34    | -10.4     |  7.202    |
|  31       | -13.94    |  3.541    |  6.016    |
|  32       | -12.48    |  6.367    | -10.14    |
|  33       | -34.99    |  16.74    |  22.42    |
|  34       | -22.55    |  2.398    |  16.31    |
|  35       | -9.693    | -0.2046   |  3.423    |
|  36       | -16.33    |  9.592    | -12.34    |
|  37       | -28.98    | -5.145    |  23.98    |
|  38       | -12.44    |  1.077    |  5.855    |
|  39       | -10.78    |  2.405    |  2.839    |
|  40       | -17.92    |  12.88    | -3.906    |
|  41       | -10.02    |  4.819    | -6.993    |
|  42       | -9.653    |  4.61     | -4.089    |
|  43       | -20.68    |  9.874    |  9.371    |
|  44       | -29.03    |  3.245    |  22.83    |
|  45       | -21.67    |  16.65    | -4.034    |
|  46       | -30.19    |  11.54    |  20.26    |
|  47       | -20.8     |  15.75    | -6.485    |
|  48       | -21.61    |  15.42    |  2.077    |
|  49       | -28.38    |  3.887    |  21.96    |
|  50       | -23.61    |  17.67    |  1.589    |
|  51       | -14.73    |  8.576    |  0.7069   |
|  52       | -11.7     |  2.352    |  4.1      |
|  53       | -26.52    |  20.84    |  0.9529   |
|  54       | -28.45    |  22.29    | -13.03    |
|  55       | -12.82    |  5.049    |  2.963    |
|  56       | -26.93    |  11.0     |  16.67    |
|  57       | -5.109    | -0.3136   | -2.967    |
|  58       | -20.62    |  14.02    |  2.966    |
|  59       | -13.14    |  8.086    | -3.849    |
|  60       | -26.03    |  1.395    |  20.23    |
